economy,gdp_current_usd,gdp_per_capita,inflation_rate,unemployment_rate,trade_percent_gdp,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,population,urban_population_percent,manufacturing_value_added_per_capita,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,air_pollution
SAS,3909131788534.176,2368.005714831138,5.46338617610126,5.488810488139194,43.38824594173974,20.00766371176968,22.98438899687696,30.51888082926062,2.921341716162792,3.1848062825655523,1648766689.8,35.80024428614112,557243763834.8737,14.31292266188484,26.17326689903154,,,,,
SAU,1089160373333.3334,33196.77945703452,2.599567396078,5.5548,52.8429493773854,29.671419717093237,23.17152966029216,30.140288188393562,5.11466979980469,5.6671755325,32703025.6,84.729,163071626666.6666,14.82034163657994,45.964392797811676,34.06,76.42921259,4.780772897,13.9,6195.009
SDN,40547815947.71692,824.5508789062496,220.38642779207203,10.177333333333333,4.343355958286244,2.249511187889354,2.093844770396888,5.453509404947983,,3.757715045,48946251.0,35.979200000000006,,,17.38932479966019,2.5,66.24965038,34.503943993,21.2,1451.9
SEN,28559643022.202618,1615.048967162178,4.232853983006669,3.1012,70.32317257962919,24.64046873618252,45.68270384344666,25.004550921836724,5.8623249986697274,4.5381621125,17648149.2,49.093399999999995,4215335889.9422426,14.78399224453182,24.071351879756257,1.09,69.4721467,30.207779582,21.4,116.296
SGP,469520248382.291,81570.31490589063,3.0996360690263165,3.7914000000000003,328.32328178180217,182.188946222727,146.1343355590754,41.212891788129596,2.4679757166160763,5.0082530975,5746180.6,100.0,86792324980.98409,18.65017091143374,23.04391510241072,28.34,81.57605503,1.722070412,13.3,333.464
SLB,1609393078.2522678,2058.2204073466064,3.714787953283827,1.2312,68.29855862253683,27.13337654253863,41.165182079998196,18.0554612325083,8.689185586358578,4.7758357525,781471.6,25.5814,141518025.178146,9.186742681577611,17.98692079182253,2.38,62.55214723,17.858740658,44.7,20.059
SLE,6990272862.107931,844.8375400128782,25.76114834046466,3.3036000000000003,47.6147579541703,16.930624808969537,30.684133145200782,11.42124940018465,4.6216732395252205,8.739170075,8277300.2,43.841,519014211.85341084,7.417639313116814,22.16445387170664,1.34,61.0228635,50.886677362,24.7,83.96
SLV,31010670000.0,4931.901386942114,3.038656206339478,3.633,80.67602216166031,29.97992486755212,50.6960972941082,18.96745078732252,3.41676753759384,9.43174982,6283718.2,74.74359999999999,4185320000.0,13.62288262916324,23.436883791216598,16.16,76.24875651,9.989773874,12.6,113.806
SMR,1743937023.3661568,50953.39988741073,2.7963344192009343,,339.269804466813,182.06844242718134,157.20136203963133,36.05457802486577,3.14369002978007,7.88717866,34122.8,97.72380000000001,570118760.1304866,32.627643932538334,36.61522733588637,46.29,,1.250274792,,
SOM,10278438115.999893,574.97398917614,,19.185399999999998,86.51747099786051,17.44817137079846,69.06929962706207,,7.0582497119775e-06,2.407186985,17818457.0,47.327,,,,0.48,51.74982512,73.148684031,27.6,172.992
